날짜,검색횟수,옷종류
2019-05-17,4,니트/스웨터
2019-05-18,4,니트/스웨터
2019-05-19,5,니트/스웨터
2019-05-20,5,니트/스웨터
2019-05-21,5,니트/스웨터
2019-05-22,5,니트/스웨터
2019-05-23,5,니트/스웨터
2019-05-24,5,니트/스웨터
2019-05-25,5,니트/스웨터
2019-05-26,5,니트/스웨터
2019-05-27,5,니트/스웨터
2019-05-28,5,니트/스웨터
2019-05-29,6,니트/스웨터
2019-05-30,4,니트/스웨터
2019-05-31,5,니트/스웨터
2019-06-01,5,니트/스웨터
2019-06-02,5,니트/스웨터
2019-06-03,5,니트/스웨터
2019-06-04,6,니트/스웨터
2019-06-05,5,니트/스웨터
2019-06-06,5,니트/스웨터
2019-06-07,5,니트/스웨터
2019-06-08,6,니트/스웨터
2019-06-09,6,니트/스웨터
2019-06-10,7,니트/스웨터
2019-06-11,5,니트/스웨터
2019-06-12,5,니트/스웨터
2019-06-13,6,니트/스웨터
2019-06-14,5,니트/스웨터
2019-06-15,5,니트/스웨터
2019-06-16,5,니트/스웨터
2019-06-17,5,니트/스웨터
2019-06-18,6,니트/스웨터
2019-06-19,6,니트/스웨터
2019-06-20,5,니트/스웨터
2019-06-21,5,니트/스웨터
2019-06-22,4,니트/스웨터
2019-06-23,5,니트/스웨터
2019-06-24,5,니트/스웨터
2019-06-25,5,니트/스웨터
2019-06-26,6,니트/스웨터
2019-06-27,5,니트/스웨터
2019-06-28,5,니트/스웨터
2019-06-29,6,니트/스웨터
2019-06-30,7,니트/스웨터
2019-07-01,7,니트/스웨터
2019-07-02,7,니트/스웨터
2019-07-03,8,니트/스웨터
2019-07-04,6,니트/스웨터
2019-07-05,6,니트/스웨터
2019-07-06,6,니트/스웨터
2019-07-07,7,니트/스웨터
2019-07-08,6,니트/스웨터
2019-07-09,7,니트/스웨터
2019-07-10,7,니트/스웨터
2019-07-11,7,니트/스웨터
2019-07-12,6,니트/스웨터
2019-07-13,7,니트/스웨터
2019-07-14,9,니트/스웨터
2019-07-15,8,니트/스웨터
2019-07-16,7,니트/스웨터
2019-07-17,6,니트/스웨터
2019-07-18,6,니트/스웨터
2019-07-19,6,니트/스웨터
2019-07-20,7,니트/스웨터
2019-07-21,7,니트/스웨터
2019-07-22,7,니트/스웨터
2019-07-23,7,니트/스웨터
2019-07-24,7,니트/스웨터
2019-07-25,6,니트/스웨터
2019-07-26,6,니트/스웨터
2019-07-27,5,니트/스웨터
2019-07-28,7,니트/스웨터
2019-07-29,7,니트/스웨터
2019-07-30,7,니트/스웨터
2019-07-31,7,니트/스웨터
2019-08-01,7,니트/스웨터
2019-08-02,7,니트/스웨터
2019-08-03,7,니트/스웨터
2019-08-04,9,니트/스웨터
2019-08-05,8,니트/스웨터
2019-08-06,8,니트/스웨터
2019-08-07,7,니트/스웨터
2019-08-08,7,니트/스웨터
2019-08-09,7,니트/스웨터
2019-08-10,6,니트/스웨터
2019-08-11,8,니트/스웨터
2019-08-12,8,니트/스웨터
2019-08-13,8,니트/스웨터
2019-08-14,8,니트/스웨터
2019-08-15,8,니트/스웨터
2019-08-16,9,니트/스웨터
2019-08-17,9,니트/스웨터
2019-08-18,10,니트/스웨터
2019-08-19,11,니트/스웨터
2019-08-20,10,니트/스웨터
2019-08-21,10,니트/스웨터
2019-08-22,10,니트/스웨터
2019-08-23,9,니트/스웨터
2019-08-24,11,니트/스웨터
2019-08-25,13,니트/스웨터
2019-08-26,13,니트/스웨터
2019-08-27,14,니트/스웨터
2019-08-28,15,니트/스웨터
2019-08-29,15,니트/스웨터
2019-08-30,14,니트/스웨터
2019-08-31,16,니트/스웨터
2019-09-01,22,니트/스웨터
2019-09-02,21,니트/스웨터
2019-09-03,22,니트/스웨터
2019-09-04,22,니트/스웨터
2019-09-05,19,니트/스웨터
2019-09-06,18,니트/스웨터
2019-09-07,22,니트/스웨터
2019-09-08,25,니트/스웨터
2019-09-09,22,니트/스웨터
2019-09-10,20,니트/스웨터
2019-09-11,18,니트/스웨터
2019-09-12,20,니트/스웨터
2019-09-13,22,니트/스웨터
2019-09-14,25,니트/스웨터
2019-09-15,30,니트/스웨터
2019-09-16,30,니트/스웨터
2019-09-17,27,니트/스웨터
2019-09-18,27,니트/스웨터
2019-09-19,28,니트/스웨터
2019-09-20,27,니트/스웨터
2019-09-21,37,니트/스웨터
2019-09-22,45,니트/스웨터
2019-09-23,40,니트/스웨터
2019-09-24,38,니트/스웨터
2019-09-25,35,니트/스웨터
2019-09-26,32,니트/스웨터
2019-09-27,28,니트/스웨터
2019-09-28,29,니트/스웨터
2019-09-29,35,니트/스웨터
2019-09-30,33,니트/스웨터
2019-10-01,33,니트/스웨터
2019-10-02,30,니트/스웨터
2019-10-03,35,니트/스웨터
2019-10-04,31,니트/스웨터
2019-10-05,34,니트/스웨터
2019-10-06,45,니트/스웨터
2019-10-07,46,니트/스웨터
2019-10-08,42,니트/스웨터
2019-10-09,50,니트/스웨터
2019-10-10,47,니트/스웨터
2019-10-11,40,니트/스웨터
2019-10-12,43,니트/스웨터
2019-10-13,54,니트/스웨터
2019-10-14,52,니트/스웨터
2019-10-15,54,니트/스웨터
2019-10-16,51,니트/스웨터
2019-10-17,49,니트/스웨터
2019-10-18,43,니트/스웨터
2019-10-19,45,니트/스웨터
2019-10-20,56,니트/스웨터
2019-10-21,53,니트/스웨터
2019-10-22,52,니트/스웨터
2019-10-23,50,니트/스웨터
2019-10-24,44,니트/스웨터
2019-10-25,39,니트/스웨터
2019-10-26,45,니트/스웨터
2019-10-27,63,니트/스웨터
2019-10-28,62,니트/스웨터
